REVISTA*;NÚMERO;SECCIÓN;TÍTULO;AUTOR1*;AUTOR2*;MODELO1;MODELO2;MODELO3;MODELO4;MODELO5;MODELO6
1;1;Carta del editor;Sueños y libertad.;José María Vicedo;;;;;;;
1;2;Reportajes;Días de gloria. Pegaso Z-102. Berlina Especial Le Mans.;Manuel Lage;David de Jong;Pegaso Z-102;;;;;
1;3;Reportajes;Esteban Palazzo. Creando automóviles de ensueño.;José María Vicedo;;;;;;;
1;4;Reportajes;Doble Renacimiento.;;;;;;;;
1;5;Rutas;Paso del Stelvio.;;;;;;;;
1;6;Garajes de ensueño;Chiba-San, Tokio, Japón.;Dino Dalla Carbonare;;;;;;;
1;7;Modelo mítico;Un hombre y su sueño.;José María Vicedo;;Lamborghini Countach;;;;;
1;8;Modelo mítico;Lamborghini Countach.;José María Vicedo;José Ángel Pereda;Lamborghini Countach;;;;;
1;9;Modelo mítico;Countach LP400 vs BB512.;Keith Adams;Matthew Howell;Lamborghini Countach;Ferrari Berlinetta Boxer;;;;
1;10;Modelo mítico;Countach vs Testarossa.;John Simister;Alex Howe;Lamborghini Countach;Ferrari Testarossa;;;;
1;11;Arte;Noémi Marmorat.;;;;;;;;
1;12;Arquitectura;Fallingwater. Oda al maestro que hablabla con la naturaleza.;José Manuel Sánchez Serrano;;;;;;;
1;13;Museos;Museo Porsche.;;;;;;;;
1;14;Divulgación Técnica;El turbo. Origen, funcionamiento y evolución.;;;;;;;;
1;15;Reportajes;Al volante con Bruce Springsteen.;Javier López Romo;;;;;;;
1;16;Reportajes;Honda NSX.;José Ángel Pereda;;Honda NSX;;;;;
1;17;Reportajes;Lancia Ferrari D-50. El coche que nació Lancia y murió Ferrari.;;;Lancia D50;;;;;
1;18;Relojes;Rolex Submariner 1680 Red Letters.;Guillermo Martínez;;;;;;;
1;19;Libros;Libros recomendados.;;;;;;;;
1;20;Todos los coches van al cielo;;Máximo Sant;;;;;;;
2;21;Carta del editor;Coches con alma.;José María Vicedo;;;;;;;
2;22;Reportajes;Audacia creativa.;José María Vicedo;Kevin Van Campenhout;Alfa Romeo 33 Stradale;Alfa Romeo Carabo;Alfa Romeo Iguana;Alfa Romeo 33/2 Coupé Speciale;Alfa Romeo 33 Spider Cuneo;Alfa Romeo Navajo
2;23;Reportajes;Hispano Suiza. 8-10 HP Tipo Sport 2 Baquets.;Manuel Lage;Alfonso Pérez Dorado;Hispano-Suiza 8-10 HP;;;;;
2;24;Rutas;Pacific Coast Highway.;;;;;;;;
2;25;Reportajes;Ayrton Senna. Leyenda inolvidable.;José María Vicedo;;;;;;;
2;26;Garajes de ensueño;Michelle Hambly-Grobler.;Jan Hütz;;;;;;;
2;27;Modelo mítico;"Yutaka Katayama. ""Mr. K"".";José Ángel Pereda;;Datsun Z;;;;;
2;28;Modelo mítico;Datsun Z.;José Ángel Pereda;;Datsun Z;;;;;
2;29;Modelo mítico;Musculando el Z.;José Ángel Pereda;Josh Bryan;Datsun Z;;;;;
2;30;Arte;Manu Campa.;José Bueno;;;;;;;
2;31;Reportajes;Gold Delorean.;Giles Chapman;Matthew Howell;DMC DeLorean;;;;;
2;32;Arquitectura;Tadao Ando.;José Manuel Sánchez Serrano;;;;;;;
2;33;Divulgación Técnica;Culata multiválvulas.;;;;;;;;
2;34;Reportajes;Belleza atemporal.;Axel E. Catton;Stan Papior Liberti;Morgan Plus 4;;;;;
2;35;Automodelismo;Pasión en miniatura.;Javi Martín;Sito Fernández;;;;;;
2;36;Relojes;Omega Speedmaster Mark II Racing Dial.;Guillermo Martínez;;;;;;;
2;37;Libros;Libros recomendados.;;;;;;;;
2;38;Todos los coches van al cielo;¡Cada vez somos más!;Máximo Sant;;;;;;;
3;39;Carta del editor;Emprendedores y visionarios. Los imprescindibles.;José María Vicedo;;;;;;;
3;40;Reportajes;El sueño de Alejandro.;José María Vicedo;Kevin Van Campenhout;De Tomaso Mangusta;;;;;
3;41;Reportajes;Pegaso Z-103. Reedición.;Manuel Lage;José Bueno;Pegaso Z-103;;;;;
3;42;Rutas;Golden Circle.;;;;;;;;
3;43;Reportajes;Il cavallino del lago.;Gérald Guétat;Henri Thibault;;;;;;
3;44;Modelo mítico;Lee Iacocca.;José María Vicedo;;Ford Mustang;;;;;
3;45;Modelo mítico;Mustang  2+2 Fastback;José Ángel Pereda;Dejan Marinkovic;Ford Mustang;;;;;
3;46;Modelo mítico;Bullit.;Axel E. Catton;Morgan Segal;Ford Mustang;;;;;
3;47;Modelo mítico;Persecuión de leyenda.;José María Vicedo;;Ford Mustang;;;;;
3;48;Modelo mítico;Mustang. Un nombre, dos mitos.;José Ángel Pereda;Dejan Marinkovic;Ford Mustang;;;;;
3;49;Arte;Antoine Dufilho.;Rémi Dargegen;;;;;;;
3;50;Reportajes;¡En Mayo todos a Hoznayo! Rallye Festival Trasmiera.;David Pérez Maza;Sito Fernández;;;;;;
3;51;Arquitectura;1973: Una odisea en el espacio por John Lautner.;José Manuel Sánchez Serrano;;;;;;;
3;52;Divulgación Técnica;El diferencial.;;;;;;;;
3;53;Reportajes;De Daytona a la carretera.;John Simister;Charlie Magee;Porsche 911 GT1;;;;;
3;54;Relojes;Heuer Autavia 1163T Siffert Mark IV de 1970.;Rafael Gago de la Mata;;;;;;;
3;55;Libros;Libros recomendados.;;;;;;;;
3;56;Todos los coches van al cielo;El discreto encanto de los todorreno.;Máximo Sant;;;;;;;
4;57;Carta del editor;1000 páginas de pura pasión.;José María Vicedo;;;;;;;
4;58;Reportajes;Dino. Menos es más.;Andrew Frankel;Tim Andrew;Ferrari Dino 206 GT;Ferrari Dino 246 GT;;;;
4;59;Reportajes;Vuelta a la vida.;Paul Hardiman;Ashley Border;Lancia Aurelia B20 GT;;;;;
4;60;Rutas;Costa Amalfitana. La belleza sublime de la carretera de los dioses.;Willy Fog;;;;;;;
4;61;Reportajes;Raro especimen.;Richard Heseltine;Mark Dixon;1969 Bertone Spicup;;;;;
4;62;Modelo mítico;RS. Las siglas míticas.;José María Vicedo;Kevin Van Campenhout;Porsche 911;;;;;
4;63;Modelo mítico;Carrera RSR. Pura adrenalina.;John Simister;Jamie Lipman;Porsche 911;;;;;
4;64;Arte;Belin & Dave;Ana Pomar;;;;;;;
4;65;Reportajes;El primer Mazda con motor rotativo.;John Simister;Charlie Magee;Mazda Cosmo;;;;;
4;66;Automodelismo;Le Mans 1949-1954.;;;;;;;;
4;67;Divulgación Técnica;El motor Wankel.;;;;;;;;
4;68;Reportajes;Austin Mini Countryman MK1;José Ángel Pereda;Kevin Van Campenhout;Mini;;;;;
4;69;Arquitectura;Jörn Utzon. El vikingo que llegó hasta Australia.;José Manuel Sánchez Serrano;;;;;;;
4;70;Reportajes;El espíritu del Éxtasis.;José María Vicedo;;;;;;;
4;71;Relojes;Patek Philippe Geneve.;Rafael Gago de la Mata;;;;;;;
4;72;Libros;Libros recomendados.;;;;;;;;
4;73;Todos los coches van al cielo;Cumpliamos 1 año.;Máximo Sant;;;;;;;
5;74;Carta del editor;El placer de conocer la Historia.;José María Vicedo;;;;;;;
5;75;Reportajes;Il Mostro.;José María Vicedo;José Bueno;Alfa Romeo SZ;Alfa Romeo RZ;;;;
5;76;Reportajes;Seat 1200 Sport. Autóctono.;Luis Ángel González;;Seat 1200 Sport;;;;;
5;77;Reportajes;Lo que le faltó al Bocanegra.;Arturo de Andrés;;;;;;;
5;78;Rutas;8 kilométros de pura magia. Atlantic Ocean Road.;Willy Fog;;;;;;;
5;79;Reportajes;Elvis Presley. La pasión por los automóviles del rey del rock.;José María Vicedo;;;;;;;
5;80;Modelo Mítico;Leonardo Fioravanti. Tras la sombra de Pininfarina.;;;;;;;;
5;81;Modelo Mítico;Ferrari Daytona 365 GTB/4;José Ángel Pereda;Kevin Van Campenhout;Ferrari Daytona 365 GTB/4;;;;;
5;82;Modelo Mítico;Daytona Competizione.;Paul Harmer;;;;;;;
5;83;Modelo Mítico;Lucha de titanes. Daytona vs Miura.;Keith Adams;Matthew Howell;Ferrari Daytona 365 GTB/4;Lamborghini Miura;;;;
5;84;Arte;Ronen Zlotogoura. El don del hiperrealismo.;José Bueno;;;;;;;
5;85;Reportajes;Carta blanca. ;Axel E. Catton;Stan Papior Liberti;Riley 2.5 RMB Transformable Coupé 1948;;;;;
5;86;Museos;Museo Louwman.;Sergio Calleja Carcedo;;;;;;;
5;87;Divulgación Técnica;Esquemas motores en el automóvil.;;;;;;;;
5;88;Arquitectura;Carlos Scarpa. El genio que intimó con Orfeo.;José Manuel Sánchez Serrano;;;;;;;
5;89;Reportajes;Paolo Gucci. Un Jaguar con diseño de etiqueta.;John Simister;Matthew Howell;Jaguar XJ-S Lynx;;;;;
5;90;Relojes;Cosmograph 6263 Daytona.;Guillermo Martínez;Rawfotosport;;;;;;
5;91;Libros;Libros recomendados.;;;;;;;;
5;92;Todos los coches van al cielo;¿Eléctrico? No. ¡Gracias!;Máximo Sant;;;;;;;
6;93;Carta del editor;En búsqueda de la excelencia.;José María Vicedo;;;;;;;
6;94;Reportajes;Pegaso Z-102 Berlineta Thrill de Touring. Pionero en seguridad.;Manuel Lage;Henri Thibault;Pegaso Z-102;;;;;
6;95;Reportajes;Fiat 124 Tjaarda Rondine.;Axel E. Catton;Federico Vandone dell'Acqua;Fiat 124 Sport Spider;;;;;
6;96;Rutas;Highlands.;Willy Fog;;;;;;;
6;97;Reportajes;Porsche 550 Spider #0069.;Ton Roks;Vincent Knoops;Porsche 550;;;;;
6;98;Modelo mítico;Un coche para la historia.;José María Vicedo;Sergio Calleja Carcedo;McLaren F1;;;;;
6;99;Arte;Juan Carlos Ferrigno. El arte de la emoción, de la velocidad y el movimiento.;;;;;;;;
6;100;Reportajes;Origen y evolución de la colección de Vehículos Históricos SEAT.;José Ángel Pereda;;;;;;;
6;101;Reportajes;Elvira Veloso. Persiguiendo un sueño.;Elvira Veloso;;;;;;;
6;102;Reportajes;Isidre López. Responsable de SEAT Históricos.;José Ángel Pereda;;;;;;;
6;103;Divulgación Técnica;Transaxle.;;;;;;;;
6;104;Arquitectura;Le Corbusier. El genio que materializó el templo de Ronchamp.;José Manuel Sánchez Serrano;;;;;;;
6;105;Reportajes;Jaguar XK120 Jabbeke.;Axel E. Catton;Stan Papior Liberti;Jaguar XK120;;;;;
6;106;Relojes;Heuer Monaco 1133B de 1970, McQueen y Le Mans.;Guillermo Martínez;Rawfotosport;;;;;;
6;107;Libros;Libros recomendados.;;;;;;;;
6;108;Todos los coches van al cielo;¡Hay futuro para los clásicos!;Máximo Sant;;;;;;;
7;109;Carta del editor;Más allá del valor monetario de las cosas.;José María Vicedo;;;;;;;
7;110;Reportajes;Nacido para ganar. Lancia Delta Integrale.;Keith Adams;John Simister;Lancia Delta Integrale;;;;;
7;111;Reportajes;Un salto a la modernidad. Mario Revelli de Beaumont y el Hispano-Suiza del Conde Trossi.;Manuel Lage;Fernando Hoyos;;;;;;
7;112;Rutas;La Dolce Vita. Ruta toscana.;Willy Fog;;;;;;;
7;113;Reportajes ;Triumph Fury. Disfrutando la exclusividad.;Axel E. Catton;Charlie Magee;Triumph Fury;;;;;
7;114;Modelo mítico;Mercedes 300 SL. El primer superdeportvo.;José Ángel Pereda;Kevin Van Campenhout;Mercedes 300 SL;;;;;
7;115;Modelo mítico;La obra cumbre de Uhlenhaut. El coche más caro de la historia.;Andrew Frankel;Jamie Lipman;Mercedes 300 SL;Mercedes 300 SLR;;;;
7;116;Arte;Fabián Oefner. Realidad mágica.;;;;;;;;
7;117;Museos;Colección Schlumpf.;Sergio Calleja Carcedo;;;;;;;
7;118;Divulgación Técnica;Disposición de los cilindros. ;;;;;;;;
7;119;Arquitectura;Louis Kahn y la biblioteca de Exeter. La cuadratura del círculo.;José Manuel Sánchez Serrano;;;;;;;
7;120;Reportajes;Arte sobre ruedas.;Axel E. Catton;Greg Jarem;Bizzarrini Spyder;;;;;
7;121;Relojes;Jaeger-Lecoultre Reverso.;Guillermo Martínez;Rawfotosport;;;;;;
7;122;Libros;Libros recomendados.;;;;;;;;
7;123;Todos los coches van al cielo;"Diseño de ""autor"".";Máximo Sant;;;;;;;
8;124;Carta del editor;Los coches como reflejo de la sociedad.;José María Vicedo;;;;;;;
8;125;Reportajes;Lamborghini Marzal. Creatividad extrema.;Massimo Delbò;Max Serra;Lamborghini Marzal;;;;;
8;126;Reportajes;3 Jaguar resucitados.;Arturo de Andrés;;Jaguar E-Type Lightweight;Jaguar XK-SS;Jaguar D-Type;;;
8;127;Rutas;Ruta 66.;Willy Fog;;;;;;;
8;128;Reportajes;Sangre Azul.;Richard Heseltine;Massimo Delbó;Bugatti EB110;;;;;
8;129;Modelo mítico;BMW M1. Excelencía estilística y homenaje a la deportividad.;José María Vicedo;;BMW M1;;;;;
8;130;Reportajes;Potencia americana con traje italiano.;Axel E. Catton;Greg Jarem;Chevrolet Corvette Rondine;;;;;
8;131;Arquitectura;Mies Van Der Rohe. El gran analista del espacio moderno.;José Manuel Sánchez Serrano;;;;;;;
8;132;Reportajes;"Porsche 901 prototipo #7 ""Barbarroja"".";Axel E. Catton;Greg Jarem;Porsche 901;;;;;
8;133;Divulgación Técnica;Disposición de los cilindros. Parte 2. ;;;;;;;;
8;134;Reportajes;Caballos salvajes.;Ivan Ostroff;Gus Gregory;Ferrari 288 GTO;Ferrari F40;;;;
8;135;Relojes;La herencia Longines. El crono 7414 de 1966 y su calibre 30CH.;Rafael Gago de la Mata;Rawfotosport;;;;;;
8;136;Libros;Libros recomendados.;;;;;;;;
8;137;Todos los coches van al cielo;La Fórmula 1 podría volver al Jarama.;Máximo Sant;;;;;;;
9;138;Carta del editor;Esto va de libertad.;José María Vicedo;;;;;;;
9;139;Reportajes;Alfa Romeo Superflow.;Robert Coucher;Charlie Magee;Alfa Romeo Superflow;;;;;
9;140;Reportajes;Pegaso Bisiluro. Coche especial 1953 / Coche de competición.;Manuel Lage;;Pegaso Z-102;;;;;
9;141;Reportajes;Una historia en miniatura.;Juan José Poza;;Pegaso Z-102;;;;;
9;142;Reportajes;Pieza única. Recreando el Pegaso Bisiluro Z-102;José Ángel Pereda;Paco Barceló;Pegaso Z-102;;;;;
9;143;Rutas;Portugal mágico. Ruta de Oporto a Lisboa.;Willy Fog;;;;;;;
9;144;Garajes de ensueño;Thierry Dehaeck.;José María Vicedo;;;;;;;
9;145;Modelo mítico;Corvette C3. La tercera generación de la leyenda.;José María Vicedo;Josh Bryan;Chevrolet Corvette C3;;;;;
9;146;Arquitectura;Richard Neutra. Casa Tremanie: caso consolidado.;José Manuel Sánchez Serrano;Julius Schulman;;;;;;
9;147;Reportajes;Zagato. Porsche 356 Carrera Coupé Zagato Sanction II.;Axel E. Catton;Federico Vandone dell'Acqua;Porsche 356 Carrera;;;;;
9;148;Reportajes;Zagato. La historia de un mito.;José María Vicedo;;;;;;;
9;149;Divulgación Técnica;La suspensión.;;;;;;;;
9;150;Reportajes;Oportunidad dorada.;Robert Coucher;Paul Harmer;Aston Martin DB6;;;;;
9;151;Reportajes;Los origenes del Gran Turismo definitivo.;José María Vicedo;;Bentley R-Type Continental;;;;;
9;152;Relojes;Bulova Accutron 214.;Guillermo Martínez;Rawfotosport;;;;;;
9;153;Libros;Libros recomendados.;;;;;;;;
9;154;Todos los coches van al cielo;Clásicos en España. ¡Qué nivel!;Máximo Sant;;;;;;;
10;155;Carta del editor;Marcas míticas.;José María Vicedo;;;;;;;
10;156;Reportajes;Silhouette. Tesoro olvidado.;Mark Dixon;Tim Andrew;Lamborghini Silhouette;;;;;
10;157;Reportajes;El primer deportivo de la historia. Hispano-Suiza Alfonso XIII. Un coche con pedigrí.;Manuel Lage;José Bueno;Hispano-Suiza Alfonso XIII;;;;;
10;158;Rutas;Dolomitas.;Willy Fog;;;;;;;
10;159;Reportajes;Red Pig.;José Ángel Pereda;;Mercedes 300 SEL 6.8 AMG;;;;;
10;160;Modelo mítico;Ferrari Testarossa.;José María Vicedo;Kevin Van Campenhout;Ferrari Testarossa;;;;;
10;161;Modelo mítico;Ferrari 250 Testarossa.;Winston Goodfellow;Darin Schnabel;Ferrari 250 Testa Rossa;;;;;
10;162;Modelo mítico;El capricho de Agnelli. Un Ferrari a la medida.;James Page;Christian Martin ;Ferrari Testarossa;;;;;
10;163;Reportajes;La bestia de los 1000 caballos.;Yan-Alexandre Damasiewicz;Kevin Van Campenhout;Ferrari Lotec TT1000;Ferrari Testarossa;;;;
10;164;Arquitectura;Mario Botta y la Casa Bianchi: Gambito de Rey y ataque de torre.;José Manuel Sánchez Serrano;;;;;;;
10;165;Arte;Tete Navarro.;Paco Barceló;;;;;;;
10;166;Divulgación Técnica;La dirección.;;;;;;;;
10;167;Museos;Fuji Motorsports. Un tributo al mundo de las carreras.;José Ángel Pereda;Jaden Low;;;;;;
10;168;Relojes;Breitling 1884 Navitimer 806. Un reloj de piloto mítico.;Rafael Gago de la Mata;Rawfotosport;;;;;;
10;169;Libros;Libros recomendados.;;;;;;;;
10;170;Todos los coches van al cielo;Ya se nos empieza a tener en cuenta.;Máximo Sant;;;;;;;
